repository;state;createdAt;mergedAt;closedAt;reviews;participants;bodyText;changedFiles;comments;additions;deletions;hours
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-14T13:02:49Z;2023-04-14T15:37:22Z;NaN;2;3;45;152;0;830;830;2.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-14T12:24:08Z;2023-04-14T15:37:41Z;NaN;2;3;45;4;0;152;160;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-13T13:18:29Z;2023-04-13T14:36:35Z;NaN;2;3;45;561;0;180127;73;1.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-12T13:03:49Z;2023-04-12T15:02:28Z;NaN;2;3;45;22;0;217;163;1.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-12T05:31:32Z;2023-04-12T17:14:24Z;NaN;2;3;622;1;1;0;6;11.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-11T13:08:31Z;2023-04-11T19:43:39Z;NaN;2;3;45;22;0;202;202;6.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-11T12:09:30Z;2023-04-11T19:44:01Z;NaN;2;3;45;22;0;139;139;7.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-10T20:43:07Z;2023-04-11T16:38:24Z;NaN;5;5;428;1;1;6;0;19.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-10T16:03:12Z;2023-04-13T15:25:13Z;NaN;4;4;533;8;1;60;81;71.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-10T13:02:15Z;2023-04-10T15:41:01Z;NaN;2;3;45;201;0;584;584;2.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-10T12:08:44Z;2023-04-10T15:40:37Z;NaN;2;3;45;184;0;1964;2011;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-10T10:29:50Z;2023-04-10T14:24:42Z;NaN;3;3;318;2;0;6;6;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-10T06:19:01Z;2023-04-10T07:28:41Z;NaN;2;3;287;1;0;1;1;1.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-09T01:14:21Z;2023-04-10T14:30:57Z;NaN;1;2;1661;2;1;70;26;37.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-09T00:16:40Z;2023-04-10T13:56:24Z;NaN;2;1;4026;2;1;17;17;37.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-09T00:11:14Z;2023-04-10T14:19:05Z;NaN;3;2;844;3;3;24;24;38.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T21:29:12Z;2023-04-09T16:38:14Z;NaN;2;0;1370;2;0;12;12;19.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T21:27:55Z;2023-04-09T21:05:37Z;NaN;2;0;872;2;1;85;85;23.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T18:29:25Z;2023-04-09T13:58:10Z;NaN;2;0;15930;2;1;51;3;19.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T18:27:57Z;2023-04-09T07:01:48Z;NaN;2;0;877;1;0;1;1;12.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T15:13:29Z;2023-04-10T10:01:20Z;NaN;1;1;720;2;1;15;8;42.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T15:09:19Z;2023-04-09T10:28:23Z;NaN;2;0;3370;2;0;183;182;19.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T11:01:58Z;2023-04-09T03:31:25Z;NaN;2;0;1732;2;1;6;6;16.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T10:56:23Z;2023-04-08T23:36:21Z;NaN;2;0;625;2;1;10;10;12.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T07:21:01Z;2023-04-08T21:20:12Z;NaN;2;0;676;2;1;8;8;13.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T07:19:33Z;2023-04-10T09:46:47Z;NaN;1;1;705;2;0;5;5;50.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T03:58:41Z;2023-04-08T18:20:34Z;NaN;2;0;657;2;0;5;5;14.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T03:57:13Z;2023-04-08T07:15:40Z;NaN;2;0;638;2;0;3;3;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T21:20:40Z;2023-04-08T11:22:30Z;NaN;2;4;620;1;3;1;1;14.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T19:50:47Z;2023-04-08T09:22:18Z;NaN;4;4;821;1;1;1;1;13.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T15:42:12Z;2023-04-10T15:51:00Z;NaN;2;3;656;104;1;215;298;72.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T15:06:22Z;2023-04-12T20:30:43Z;NaN;4;4;275;1;3;1;1;125.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T14:42:55Z;2023-04-13T08:16:59Z;NaN;4;4;419;3;1;45;0;137.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T13:03:36Z;2023-04-07T14:23:41Z;NaN;2;3;45;135;0;674;674;1.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T12:08:48Z;2023-04-07T16:05:14Z;NaN;2;3;45;1;0;1;1;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T09:59:24Z;2023-04-10T09:45:27Z;NaN;13;6;403;24;8;225;231;71.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};CLOSED;2023-04-06T14:51:02Z;NaN;2023-04-06T16:54:23Z;1;4;275;1;5;5;0;2.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-06T13:08:01Z;2023-04-06T16:55:44Z;NaN;2;3;45;536;0;1111;1057;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-06T12:24:18Z;2023-04-06T15:41:33Z;NaN;2;3;45;2;0;74;74;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-06T12:08:53Z;2023-04-06T16:56:03Z;NaN;2;3;45;8;0;134;142;4.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-05T21:29:15Z;2023-04-06T06:09:54Z;NaN;8;4;259;1;0;2;3;8.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-09T00:11:14Z;2023-04-10T14:19:05Z;NaN;3;2;844;3;3;24;24;38.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T21:29:12Z;2023-04-09T16:38:14Z;NaN;2;0;1370;2;0;12;12;19.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T21:27:55Z;2023-04-09T21:05:37Z;NaN;2;0;872;2;1;85;85;23.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T18:29:25Z;2023-04-09T13:58:10Z;NaN;2;0;15930;2;1;51;3;19.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T18:27:57Z;2023-04-09T07:01:48Z;NaN;2;0;877;1;0;1;1;12.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T15:13:29Z;2023-04-10T10:01:20Z;NaN;1;1;720;2;1;15;8;42.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T15:09:19Z;2023-04-09T10:28:23Z;NaN;2;0;3370;2;0;183;182;19.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T11:01:58Z;2023-04-09T03:31:25Z;NaN;2;0;1732;2;1;6;6;16.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T10:56:23Z;2023-04-08T23:36:21Z;NaN;2;0;625;2;1;10;10;12.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T07:21:01Z;2023-04-08T21:20:12Z;NaN;2;0;676;2;1;8;8;13.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T07:19:33Z;2023-04-10T09:46:47Z;NaN;1;1;705;2;0;5;5;50.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T03:58:41Z;2023-04-08T18:20:34Z;NaN;2;0;657;2;0;5;5;14.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T03:57:13Z;2023-04-08T07:15:40Z;NaN;2;0;638;2;0;3;3;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T21:20:40Z;2023-04-08T11:22:30Z;NaN;2;4;620;1;3;1;1;14.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T19:50:47Z;2023-04-08T09:22:18Z;NaN;4;4;821;1;1;1;1;13.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T15:42:12Z;2023-04-10T15:51:00Z;NaN;2;3;656;104;1;215;298;72.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T15:06:22Z;2023-04-12T20:30:43Z;NaN;4;4;275;1;3;1;1;125.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T14:42:55Z;2023-04-13T08:16:59Z;NaN;4;4;419;3;1;45;0;137.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T13:03:36Z;2023-04-07T14:23:41Z;NaN;2;3;45;135;0;674;674;1.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T12:08:48Z;2023-04-07T16:05:14Z;NaN;2;3;45;1;0;1;1;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T09:59:24Z;2023-04-10T09:45:27Z;NaN;13;6;403;24;8;225;231;71.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};CLOSED;2023-04-06T14:51:02Z;NaN;2023-04-06T16:54:23Z;1;4;275;1;5;5;0;2.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-06T13:08:01Z;2023-04-06T16:55:44Z;NaN;2;3;45;536;0;1111;1057;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-06T12:24:18Z;2023-04-06T15:41:33Z;NaN;2;3;45;2;0;74;74;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-06T12:08:53Z;2023-04-06T16:56:03Z;NaN;2;3;45;8;0;134;142;4.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-05T21:29:15Z;2023-04-06T06:09:54Z;NaN;8;4;259;1;0;2;3;8.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-09T00:11:14Z;2023-04-10T14:19:05Z;NaN;3;2;844;3;3;24;24;38.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T21:29:12Z;2023-04-09T16:38:14Z;NaN;2;0;1370;2;0;12;12;19.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T21:27:55Z;2023-04-09T21:05:37Z;NaN;2;0;872;2;1;85;85;23.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T18:29:25Z;2023-04-09T13:58:10Z;NaN;2;0;15930;2;1;51;3;19.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T18:27:57Z;2023-04-09T07:01:48Z;NaN;2;0;877;1;0;1;1;12.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T15:13:29Z;2023-04-10T10:01:20Z;NaN;1;1;720;2;1;15;8;42.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T15:09:19Z;2023-04-09T10:28:23Z;NaN;2;0;3370;2;0;183;182;19.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T11:01:58Z;2023-04-09T03:31:25Z;NaN;2;0;1732;2;1;6;6;16.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T10:56:23Z;2023-04-08T23:36:21Z;NaN;2;0;625;2;1;10;10;12.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T07:21:01Z;2023-04-08T21:20:12Z;NaN;2;0;676;2;1;8;8;13.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T07:19:33Z;2023-04-10T09:46:47Z;NaN;1;1;705;2;0;5;5;50.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T03:58:41Z;2023-04-08T18:20:34Z;NaN;2;0;657;2;0;5;5;14.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-08T03:57:13Z;2023-04-08T07:15:40Z;NaN;2;0;638;2;0;3;3;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T21:20:40Z;2023-04-08T11:22:30Z;NaN;2;4;620;1;3;1;1;14.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T19:50:47Z;2023-04-08T09:22:18Z;NaN;4;4;821;1;1;1;1;13.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T15:42:12Z;2023-04-10T15:51:00Z;NaN;2;3;656;104;1;215;298;72.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T15:06:22Z;2023-04-12T20:30:43Z;NaN;4;4;275;1;3;1;1;125.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T14:42:55Z;2023-04-13T08:16:59Z;NaN;4;4;419;3;1;45;0;137.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T13:03:36Z;2023-04-07T14:23:41Z;NaN;2;3;45;135;0;674;674;1.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T12:08:48Z;2023-04-07T16:05:14Z;NaN;2;3;45;1;0;1;1;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-07T09:59:24Z;2023-04-10T09:45:27Z;NaN;13;6;403;24;8;225;231;71.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};CLOSED;2023-04-06T14:51:02Z;NaN;2023-04-06T16:54:23Z;1;4;275;1;5;5;0;2.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-06T13:08:01Z;2023-04-06T16:55:44Z;NaN;2;3;45;536;0;1111;1057;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-06T12:24:18Z;2023-04-06T15:41:33Z;NaN;2;3;45;2;0;74;74;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-06T12:08:53Z;2023-04-06T16:56:03Z;NaN;2;3;45;8;0;134;142;4.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-05T21:29:15Z;2023-04-06T06:09:54Z;NaN;8;4;259;1;0;2;3;8.0
