nameWithOwner;closedPRs;mergedPRs;totalPRs
pallets/flask;906;1466;2372
apple/swift;5344;42011;47355
tauri-apps/tauri;288;2970;3258
expressjs/express;830;268;1098
godotengine/godot;5268;26809;32077
chartjs/Chart.js;806;2862;3668
coder/code-server;333;1287;1620
resume/resume.github.com;86;84;170
jaywcjlove/awesome-mac;72;725;797
home-assistant/core;7407;45280;52687
reduxjs/redux;810;1596;2406
redis/redis;2100;3262;5362
atom/atom;1312;3937;5249
angular/angular.js;7134;789;7923
protocolbuffers/protobuf;2425;4202;6627
josephmisiti/awesome-machine-learning;47;788;835
socketio/socket.io;410;415;825
keras-team/keras;3344;2815;6159
jquery/jquery;2211;615;2826
ansible/ansible;12056;36568;48624
h5bp/Front-end-Developer-Interview-Questions;194;439;633
tiangolo/fastapi;567;1186;1753
mermaid-js/mermaid;269;1555;1824
kelseyhightower/nocode;136;1;137
shadowsocks/shadowsocks-windows;196;278;474
lodash/lodash;587;573;1160
nestjs/nest;1458;4980;6438
leonardomso/33-js-concepts;53;160;213
vitejs/vite;995;3247;4242
twitter/the-algorithm;292;2;294
grafana/grafana;4548;30009;34557
apache/echarts;346;1173;1519
DopplerHQ/awesome-interview-questions;32;175;207
enaqx/awesome-react;335;766;1101
chrislgarry/Apollo-11;102;320;422
Developer-Y/cs-video-courses;35;126;161
gatsbyjs/gatsby;3700;17711;21411
h5bp/html5-boilerplate;897;672;1569
anuraghazra/github-readme-stats;717;497;1214
lydiahallie/javascript-questions;166;304;470
scikit-learn/scikit-learn;4205;10541;14746
awesomedata/awesome-public-datasets;88;188;276
ElemeFE/element;1542;3221;4763
strapi/strapi;1582;6029;7611
Anduin2017/HowToCook;150;460;610
rails/rails;9787;21200;30987
python/cpython;5976;32591;38567
junegunn/fzf;290;373;663
spring-projects/spring-framework;3266;760;4026
apache/superset;2378;10505;12883
TheAlgorithms/Java;2066;992;3058
sdmg15/Best-websites-a-programmer-should-visit;381;373;754
azl397985856/leetcode;51;252;303
hoppscotch/hoppscotch;755;1057;1812
bradtraversy/design-resources-for-developers;347;836;1183
sindresorhus/awesome-nodejs;669;395;1064
3b1b/manim;210;562;772
syncthing/syncthing;1407;2305;3712
Semantic-Org/Semantic-UI;409;356;765
tesseract-ocr/tesseract;198;1309;1507
MunGell/awesome-for-beginners;726;335;1061
scutan90/DeepLearning-500-questions;32;302;334
necolas/normalize.css;300;56;356
remix-run/react-router;997;1818;2815
microsoft/playwright;1305;10150;11455
psf/requests;830;1469;2299
ionic-team/ionic-framework;1705;4483;6188
supabase/supabase;745;4616;5361
ageitgey/face_recognition;93;94;187
ventoy/Ventoy;119;242;361
google/material-design-icons;109;41;150
microsoft/ML-For-Beginners;68;341;409
prometheus/prometheus;1423;5191;6614
moment/moment;1259;712;1971
google/guava;1137;371;1508
soimort/you-get;354;570;924
jgthms/bulma;351;602;953
swisskyrepo/PayloadsAllTheThings;86;458;544
ReactiveX/RxJava;642;3126;3768
obsproject/obs-studio;1509;3688;5197
scrapy/scrapy;849;1949;2798
caddyserver/caddy;349;1576;1925
ocornut/imgui;640;300;940
localstack/localstack;336;3312;3648
prakhar1989/awesome-courses;55;194;249
excalidraw/excalidraw;727;2918;3645
jekyll/jekyll;1177;3075;4252
NARKOZ/hacker-scripts;48;63;111
Solido/awesome-flutter;439;419;858
alacritty/alacritty;439;1542;1981
wasabeef/awesome-android-ui;125;90;215
danielmiessler/SecLists;124;487;611
git/git;1139;3;1142
fffaraz/awesome-cpp;148;553;701
prettier/prettier;1135;7173;8308
yt-dlp/yt-dlp;369;1361;1730
juliangarnier/anime;64;72;136
Eugeny/tabby;2108;1351;3459
nuxt/nuxt;677;2883;3560
minimaxir/big-list-of-naughty-strings;33;90;123